epoch,acc,acc_a,acc_b,acc_c,acc_d,acc_e,loss,lr,val_F1,val_acc,val_loss,val_macc,val_precision,val_sensitivity,val_specificity
0,0.6550257895866332,0.675,0.5408163265306123,0.8571428571428571,0.5,0.8651685393258427,0.831653460878949,0.0009633665322326124,0.7209976850474602,0.698956779752554,0.5732629809933875,0.6906392155520651,0.6353590774091168,0.8333332669082179,0.5479451641959123
1,0.6809563624315409,0.6625,0.5816326530612245,1.0,0.5,0.8539325842696629,0.5885228097114739,0.0008295816951431334,0.734562472109186,0.7154992541406531,0.5579512972723354,0.7017073107438097,0.6397849083998173,0.8623187718441558,0.5410958496434634
2,0.6942422952252121,0.65,0.6020408163265306,1.0,0.5,0.8539325842696629,0.572223474008675,0.0007083056261762977,0.7447393567282776,0.7061102843264621,0.568294811533034,0.7061246222238731,0.6358974000263005,0.8985506530140783,0.5136985914336678
3,0.7014219978772064,0.675,0.5816326530612245,1.0,0.6,0.9438202247191011,0.5605171576721905,0.0006164333317428827,0.7579563109235643,0.7423248885396518,0.5309770048419694,0.7359538835060542,0.6761363213778435,0.8623187718441558,0.6095889951679524
4,0.7068939060658304,0.65,0.6428571428571429,1.0,0.5,0.8764044943820225,0.5552970587160238,0.0005455291830003262,0.7584043687311994,0.7154992532745648,0.5515370171977937,0.7266725658812198,0.6560846178998371,0.8985506530140783,0.5547944787483612
5,0.7104628451047009,0.7125,0.5918367346938775,1.0,0.6,0.9775280898876404,0.5498294697452021,0.0004892426659353077,0.773764985751905,0.7540983627210254,0.5222031527966394,0.7597279535988575,0.7065867798056612,0.8550723956101713,0.6643835115875436
6,0.7135647551278498,0.6625,0.6122448979591837,1.0,0.5,0.9101123595505618,0.5446013724115891,0.0004434840229805559,0.7515868846185657,0.7321907607547039,0.5335682804644907,0.7289060381128374,0.670454503551139,0.8550723956101713,0.6027396806155035
7,0.7154468123457114,0.6375,0.6122448979591837,0.8571428571428571,0.5,0.8876404494382022,0.5406128571827209,0.00040555273881182075,0.7551568828698713,0.7096870358472609,0.5541978838413554,0.7137680601393932,0.6368158855473893,0.9275361579500164,0.49999996232877
8,0.7185835756302279,0.675,0.6224489795918368,1.0,0.5,0.9213483146067416,0.535819091254924,0.00037359874113462865,0.7706367838097615,0.7280178849325806,0.5350115266913096,0.7407682566676532,0.6666666278659634,0.9130434054820474,0.568493107853259
9,0.7214624269244961,0.625,0.5612244897959183,1.0,0.5,0.9325842696629213,0.5335237648835096,0.0003463123575784266,0.7499946263132922,0.7245901636834827,0.5381036630863582,0.7099463411816331,0.6363636010101029,0.9130434054820474,0.5068492768812188
10,0.7240694263698366,0.6375,0.5714285714285714,0.8571428571428571,0.5,0.8764044943820225,0.5304152239745055,0.000322740466799587,0.7380898651886184,0.7178837521398653,0.5439662619337062,0.6958506503951997,0.6262625914702601,0.8985506530140783,0.49315064777632106
11,0.7251150139402216,0.6625,0.5816326530612245,1.0,0.5,0.9213483146067416,0.5279858756494143,0.00030217296443879604,0.757570354381238,0.734575261291111,0.5219445521048035,0.7234464394457631,0.6510416293674066,0.9057970292480629,0.5410958496434634
12,0.7267112774437116,0.7,0.6122448979591837,1.0,0.6,0.9213483146067416,0.5251442798133278,0.0002840698871295899,0.7652678274596663,0.7408345768064394,0.5252696824566796,0.7462278553347275,0.6878612279394595,0.8623187718441558,0.6301369388252991
13,0.7283911882260513,0.65,0.5918367346938775,1.0,0.5,0.898876404494382,0.5213693485804454,0.0002680132747627795,0.7559470068756364,0.7171385982330617,0.5380986475575876,0.7169941865748499,0.6414141057800244,0.9202897817160319,0.5136985914336678
14,0.7288442764108722,0.6375,0.6020408163265306,1.0,0.6,0.9101123595505618,0.5208566438349058,0.0002536746906116605,0.757570354381238,0.7247391972363262,0.5360860894982399,0.7234464394457631,0.6510416293674066,0.9057970292480629,0.5410958496434634
15,0.7334588030949142,0.6375,0.6122448979591837,0.8571428571428571,0.6,0.9101123595505618,0.5168808131026503,0.00024079241848085076,0.7499945524606867,0.7268256325824339,0.5359707860562023,0.7224537852419242,0.6593406194904021,0.8695651480781403,0.5753424224057079
16,0.7333333320270667,0.75,0.6428571428571429,1.0,0.6,0.9438202247191011,0.5160614398297582,0.0002291553100803867,0.7880739535924842,0.749925484000837,0.5096033588051796,0.7770497708207476,0.7256097074286172,0.8623187718441558,0.6917807697973393
17,0.7352153909400835,0.675,0.5714285714285714,0.8571428571428571,0.6,0.9325842696629213,0.5137952236339468,0.0002185911580454558,0.7584043687311994,0.7326378539404464,0.5266704489594956,0.7266725658812198,0.6560846178998371,0.8985506530140783,0.5547944787483612
18,0.7358845661794327,0.725,0.6224489795918368,1.0,0.6,0.9213483146067416,0.513269965641671,0.00020895809575449675,0.7650951446722315,0.7533532048613055,0.5065100614020348,0.7555091729595619,0.7124999510156284,0.8260868906742334,0.6849314552448904
19,0.7380384769164484,0.7125,0.6122448979591837,1.0,0.6,0.8876404494382022,0.5107445622004011,0.00020013823814224452,0.7648848293538631,0.7344262294704441,0.5275965170038173,0.739974133304582,0.6740331082079326,0.8840579005461093,0.5958903660630546
20,0.7375853883826249,0.675,0.5918367346938775,1.0,0.6,0.9213483146067416,0.5102476594414187,0.0001920327777042985,0.7630714964828171,0.7369597605728002,0.5212716887387184,0.7335218804336687,0.6631015652721004,0.8985506530140783,0.568493107853259
21,0.7401645046704387,0.725,0.6224489795918368,1.0,0.6,0.9325842696629213,0.5071038134124976,0.00018455828831065446,0.7781295628836011,0.7475409842194815,0.5141681950211792,0.7603235461211608,0.6994219208460051,0.8768115243121248,0.6438355679301969
22,0.7395998880435413,0.675,0.6326530612244898,1.0,0.6,0.898876404494382,0.5066529593548481,0.00017764385847840458,0.7588369597477069,0.7336810739980192,0.5242093378836192,0.7391800099415108,0.6820808814861867,0.8550723956101713,0.6232876242728502
23,0.7401366231332809,0.675,0.5714285714285714,1.0,0.6,0.9438202247191011,0.5061740765806921,0.00017122880672104657,0.7630714964828171,0.7383010424284928,0.5262134618080053,0.7335218804336687,0.6631015652721004,0.8985506530140783,0.568493107853259
24,0.7420395926320368,0.7125,0.6326530612244898,1.0,0.6,0.898876404494382,0.5035426684225618,0.0001652609498705715,0.7599944795059601,0.7357675100825227,0.5266997354041268,0.7486598584071129,0.7037036559213566,0.8260868906742334,0.6712328261399926
25,0.743106092109385,0.6625,0.6122448979591837,1.0,0.5,0.9325842696629213,0.5019904102978971,0.0001596950605744496,0.7594882061753913,0.7353204174297577,0.5184988378257048,0.7361524143468219,0.6741572617093827,0.8695651480781403,0.6027396806155035
26,0.7448069150853686,0.725,0.6224489795918368,1.0,0.6,0.9101123595505618,0.5001738627352809,0.00015449186321347952,0.7815330336937572,0.7232488791240399,0.5401475700576153,0.7546654166133189,0.6791443450770706,0.9202897817160319,0.5890410515106057
27,0.7431339742946904,0.7375,0.6326530612244898,1.0,0.6,0.9662921348314607,0.5005947821362654,0.00014961704437155277,0.7823073872844339,0.7676602085572064,0.4937844177660839,0.7762556474576763,0.737179435198886,0.8333332669082179,0.7191780280071348
28,0.7453227376199976,0.7,0.6020408163265306,1.0,0.6,0.8764044943820225,0.49952848970466257,0.00014504045248031616,0.7592538284560227,0.7153502252291549,0.5486957499793496,0.7298986923166764,0.66129028347208,0.8913042767800938,0.568493107853259
29,0.7457130905575754,0.7,0.6020408163265306,1.0,0.6,0.8876404494382022,0.4998612751750356,0.0001407355157425627,0.7539881341222294,0.7332339775533416,0.5264114433602498,0.7323306953890618,0.6742856719020435,0.8550723956101713,0.6095889951679524
30,0.747009619889724,0.6875,0.5918367346938775,1.0,0.5,0.9213483146067416,0.49676299229769066,0.00013667879102285951,0.7701438737904798,0.7278688512187335,0.5316831648749495,0.7345145346375077,0.654822298461699,0.9347825341840009,0.5342465350910145
31,0.7464728839025494,0.675,0.6020408163265306,1.0,0.6,0.9550561797752809,0.4978765830964735,0.0001328493672190234,0.7622094852111339,0.7353204152478813,0.5194629176551734,0.7458307936531918,0.6923076472462478,0.8478260193761868,0.6438355679301969
32,0.7475881780704561,0.7375,0.6224489795918368,1.0,0.7,0.9438202247191011,0.4972181217857905,0.000129228676087223,0.7814514375189482,0.7473919515715892,0.5067135002658371,0.7700019254275309,0.7195121468619902,0.8550723956101713,0.6849314552448904
33,0.7476230306338187,0.6875,0.5714285714285714,1.0,0.5,0.9438202247191011,0.49628224708404767,0.0001258001138921827,0.7645205762704782,0.727272727938949,0.5254940665736462,0.7337204112744364,0.6613756228829003,0.9057970292480629,0.56164379330081
34,0.7488010596750372,0.6875,0.5816326530612245,1.0,0.5,0.9325842696629213,0.4932580745304942,0.0001225487794727087,0.7555500871337967,0.7417287627337764,0.5105628839426087,0.7325292262298297,0.6723163423984194,0.8623187718441558,0.6027396806155035
35,0.7472605602305487,0.7,0.5918367346938775,1.0,0.6,0.9550561797752809,0.49640092957922227,0.00011946126323891804,0.7721464331415914,0.7420268252092218,0.5107038607751471,0.7502481051332553,0.6853932160712057,0.8840579005461093,0.6164383097204014
36,0.7507458526636457,0.6875,0.5918367346938775,1.0,0.5,0.9438202247191011,0.49212752461483267,0.0001165255016530864,0.7572760622503641,0.7418777939215324,0.5052708170936067,0.738981479100743,0.6842104823022497,0.8478260193761868,0.6301369388252991
37,0.7501882061904467,0.725,0.6122448979591837,1.0,0.6,0.9550561797752809,0.4927244799274722,0.00011373058805475011,0.7763102799898284,0.7552906093583199,0.5002523338208433,0.7631526108750819,0.7108433263899001,0.8550723956101713,0.6712328261399926
38,0.7510316469887718,0.6875,0.6020408163265306,1.0,0.5,0.9550561797752809,0.492391319030102,0.00011106659076176584,0.7622094852111339,0.7441132646192826,0.5090643894621317,0.7458307936531918,0.6923076472462478,0.8478260193761868,0.6438355679301969
39,0.7512616754974196,0.7375,0.6224489795918368,1.0,0.7,0.9438202247191011,0.49143492840214886,0.00010852453124243766,0.7785179624725573,0.7435171369091231,0.5130889250740032,0.7696048637459952,0.7249999501562534,0.8405796431422023,0.6986300843497881
40,0.7510595289746471,0.7125,0.6020408163265306,1.0,0.7,0.9550561797752809,0.49032783594304974,0.00010609623859636486,0.7692252452150885,0.751713860108227,0.49681886773273326,0.7591323610765541,0.7142856654835881,0.8333332669082179,0.6849314552448904
