epoch,acc,acc_a,acc_b,acc_c,acc_d,acc_e,loss,lr,val_F1,val_acc,val_loss,val_macc,val_precision,val_sensitivity,val_specificity
0,0.6391537703140566,0.65,0.5204081632653061,0.8571428571428571,0.6,0.8426966292134831,0.8460222881665942,0.0009633665322326124,0.7185574928145074,0.7047690020210696,0.5759568306799262,0.6745085833747818,0.6122448635985025,0.8695651480781403,0.47945201867142323
1,0.6697128103498333,0.7125,0.5918367346938775,0.8571428571428571,0.6,0.8539325842696629,0.6043408614404527,0.0008295816951431334,0.7412085823054902,0.7299552895184246,0.5520575164238494,0.7182350046026285,0.6628571011918394,0.8405796431422023,0.5958903660630546
2,0.6819322434542618,0.6375,0.5306122448979592,0.8571428571428571,0.5,0.898876404494382,0.5897852112338514,0.0007083056261762977,0.7471857428404065,0.6864381536796977,0.5852488942677502,0.690788113409661,0.6100917123348218,0.9637680391199389,0.4178081876993831
3,0.6883660927570698,0.6625,0.5510204081632653,0.8571428571428571,0.5,0.8876404494382022,0.5801852407414562,0.0006164333317428827,0.7492742216982076,0.7029806274348862,0.5664267336558301,0.700466492716031,0.6220095366406464,0.9420289104179854,0.45890407501407654
4,0.6923253842598721,0.675,0.5816326530612245,0.8571428571428571,0.5,0.8539325842696629,0.5763829641265382,0.0005455291830003262,0.7455567667477168,0.7208643807250945,0.5529980663482195,0.7030970266291843,0.6299999653500019,0.9130434054820474,0.49315064777632106
5,0.6978600287427468,0.6625,0.5204081632653061,0.8571428571428571,0.5,0.9325842696629213,0.5703668964303024,0.0004892426659353077,0.751439764078567,0.7213114768866278,0.5473196390799723,0.7038911499922554,0.6249999669471171,0.9420289104179854,0.46575338956652546
6,0.6994981155989809,0.65,0.5306122448979592,0.8571428571428571,0.5,0.898876404494382,0.5656983120229043,0.0004434840229805559,0.746433450804326,0.7138599103591481,0.5562633997281866,0.6938157090043499,0.6150234424166298,0.9492752866519699,0.43835613135672985
7,0.7053603774481166,0.6625,0.5408163265306123,0.8571428571428571,0.5,0.9438202247191011,0.5606436079663245,0.00040555273881182075,0.7608015984884176,0.7311475408192718,0.5378750459847613,0.7145621835024644,0.6315789141274256,0.9565216628859544,0.47260270411897437
8,0.7064826414207194,0.7,0.6224489795918368,0.8571428571428571,0.5,0.8764044943820225,0.5578807600992387,0.00037359874113462865,0.7607307743989986,0.7254843510598522,0.5479859052622904,0.7300972231574442,0.6595744294929855,0.8985506530140783,0.56164379330081
9,0.7094939339614622,0.6625,0.6020408163265306,0.8571428571428571,0.4,0.8426966292134831,0.5552698915247037,0.0003463123575784266,0.7402931294836576,0.7178837558485002,0.5458883479148727,0.6992753076714242,0.6294415892189975,0.8985506530140783,0.49999996232877
10,0.7129234610018697,0.6875,0.5816326530612245,0.8571428571428571,0.4,0.9550561797752809,0.5518373161217799,0.000322740466799587,0.7701438737904798,0.7321907608435335,0.5283928331315251,0.7345145346375077,0.654822298461699,0.9347825341840009,0.5342465350910145
11,0.713055902734455,0.675,0.5612244897959183,0.8571428571428571,0.4,0.9325842696629213,0.5512458731045239,0.00030217296443879604,0.7602285740938332,0.7374068569453036,0.5261315502526153,0.7175897790971533,0.6372548675990022,0.9420289104179854,0.49315064777632106
12,0.7147218714893139,0.65,0.5612244897959183,0.8571428571428571,0.4,0.9213483146067416,0.5488116642462564,0.0002840698871295899,0.7550379100933102,0.7102831614532699,0.5482178626112896,0.7075143381092477,0.626794225384036,0.9492752866519699,0.46575338956652546
13,0.7172103705440092,0.6875,0.5816326530612245,0.8571428571428571,0.4,0.9325842696629213,0.5464890045957155,0.0002680132747627795,0.7641737249291061,0.731594635592843,0.5342787141660464,0.7274666892442909,0.6497461566131588,0.9275361579500164,0.5273972205385655
14,0.7171964293641059,0.6625,0.6020408163265306,0.8571428571428571,0.5,0.9101123595505618,0.5474436420593637,0.0002536746906116605,0.7590307507996845,0.7141579737228892,0.5531365736630564,0.723644970286531,0.6494844992560336,0.9130434054820474,0.5342465350910145
15,0.7199707225943549,0.7,0.6020408163265306,0.8571428571428571,0.4,0.9662921348314607,0.542827602387073,0.00024079241848085076,0.7781100922570068,0.7400894191910009,0.529136226280702,0.7480146329016377,0.6701570294673962,0.9275361579500164,0.568493107853259
16,0.7190715173257041,0.65,0.5714285714285714,0.8571428571428571,0.4,0.9213483146067416,0.5439606795047727,0.0002291553100803867,0.7543806212539288,0.7184798823205973,0.5435320802488199,0.7105419337039365,0.6323529070790099,0.9347825341840009,0.48630133322387215
17,0.7194897514763661,0.6875,0.5714285714285714,0.8571428571428571,0.4,0.9213483146067416,0.5431817309320945,0.0002185911580454558,0.7610565875014594,0.7277198207582696,0.5373115909525961,0.7208159055326099,0.6417910096532283,0.9347825341840009,0.5068492768812188
18,0.7222013087364382,0.675,0.6326530612244898,0.8571428571428571,0.4,0.9213483146067416,0.5409132064585405,0.00020895809575449675,0.7696915656937738,0.7309985110416853,0.5350939896618379,0.7375421302321965,0.6614582954372852,0.9202897817160319,0.5547944787483612
19,0.7220131035929991,0.675,0.5816326530612245,0.8571428571428571,0.4,0.9101123595505618,0.5406189810053069,0.00020013823814224452,0.7588181752273785,0.7172876276775373,0.549762522099448,0.7173912482563854,0.6386138266101381,0.9347825341840009,0.49999996232877
20,0.7229820140880903,0.7125,0.6020408163265306,0.8571428571428571,0.5,0.9438202247191011,0.539229297528253,0.0001920327777042985,0.7767529913490496,0.743219076365721,0.5176745392215589,0.7478161020608699,0.6719576328490267,0.9202897817160319,0.5753424224057079
21,0.7246688955102392,0.6875,0.5714285714285714,0.8571428571428571,0.4,0.9662921348314607,0.5375575800163384,0.00018455828831065446,0.7673662020982089,0.7441132622708507,0.5192521945663607,0.7341174729559721,0.6580310505785412,0.9202897817160319,0.5479451641959123
22,0.7237418085050005,0.7125,0.6224489795918368,0.8571428571428571,0.5,0.9101123595505618,0.5382419606349,0.00017764385847840458,0.7743848302349076,0.7350223534108985,0.5289607400910155,0.7443914447846455,0.6684210139335203,0.9202897817160319,0.568493107853259
23,0.7235745142963032,0.7,0.6224489795918368,0.8571428571428571,0.5,0.9662921348314607,0.5378189456981378,0.00017122880672104657,0.7865799513675861,0.7356184772292121,0.532202369210084,0.7584871355710789,0.6789473291135757,0.9347825341840009,0.5821917369581568
24,0.7257075128521395,0.7125,0.5816326530612245,0.8571428571428571,0.5,0.9213483146067416,0.5361638224458953,0.0001652609498705715,0.7659520383593467,0.735916540604057,0.5247346250182114,0.7339189421152044,0.6596858258819681,0.9130434054820474,0.5547944787483612
25,0.7264812483243093,0.675,0.5816326530612245,0.8571428571428571,0.4,0.9213483146067416,0.5345515337313433,0.0001596950605744496,0.7596385475634075,0.7247391945603352,0.5381923190771911,0.7206173746918421,0.6432160448473543,0.9275361579500164,0.5136985914336678
26,0.7265718648095651,0.675,0.5510204081632653,0.8571428571428571,0.4,0.9550561797752809,0.5339588323356417,0.00015449186321347952,0.7596385475634075,0.727421757150247,0.5387075801009393,0.7206173746918421,0.6432160448473543,0.9275361579500164,0.5136985914336678
27,0.7284887757125832,0.6875,0.6020408163265306,0.8571428571428571,0.4,0.9325842696629213,0.5321908120404024,0.00014961704437155277,0.7673662020982089,0.7315946339272884,0.5245058610702236,0.7341174729559721,0.6580310505785412,0.9202897817160319,0.5479451641959123
28,0.7271643649429917,0.725,0.6632653061224489,0.8571428571428571,0.5,0.9101123595505618,0.5323305895068265,0.00014504045248031616,0.7781295628836011,0.7348733235444823,0.5243497610913836,0.7603235461211608,0.6994219208460051,0.8768115243121248,0.6438355679301969
29,0.7278683940170699,0.7,0.6224489795918368,0.8571428571428571,0.5,0.9101123595505618,0.5327581022260379,0.0001407355157425627,0.7692253422197924,0.7292101332465334,0.5362894630889601,0.7405697258268854,0.6684491585404239,0.9057970292480629,0.5753424224057079
30,0.7282587471540779,0.7,0.5918367346938775,0.8571428571428571,0.4,0.9550561797752809,0.5318857532248543,0.00013667879102285951,0.776114022651858,0.7274217583161353,0.531569775477074,0.7415623800307244,0.6598984403102394,0.9420289104179854,0.5410958496434634
31,0.7278962765264492,0.7125,0.6122448979591837,0.8571428571428571,0.4,0.9775280898876404,0.5292339395998114,0.0001328493672190234,0.7865799513675861,0.7415797295362513,0.5224023272579011,0.7584871355710789,0.6789473291135757,0.9347825341840009,0.5821917369581568
32,0.7279868940587125,0.7125,0.6020408163265306,0.8571428571428571,0.5,0.9775280898876404,0.530639424352953,0.000129228676087223,0.7826032544639918,0.752757079754963,0.5106168521898514,0.7578915430487755,0.6847825677575639,0.9130434054820474,0.6027396806155035
33,0.7288512469135733,0.6875,0.5816326530612245,0.8571428571428571,0.5,0.9325842696629213,0.5298248895512919,0.0001258001138921827,0.7664616812734333,0.7205663202816257,0.5407602793680041,0.7308913465205155,0.6530611878384027,0.9275361579500164,0.5342465350910145
