Filename,Weight Initialization,Activation,Class weights,Kernel Size,Max Norm,Dropout -filters,Dropout - dense,L2 - filters,L2- dense,Batch Size,Optimizer,Learning Rate,Lr decay,BN momentum,Number of filters,Number of Dense Neurons,Best Val Acc Per Cardiac Cycle,Epoch,Training Acc per cardiac cycle,Sensitivity,Specificity,Macc,No of Abnormal Strongly Mislabeled,No of Normal Strongly Mislabeled,Comments
fold0aug 2018-01-07 11:48:42.276690,he_normal,relu-sigmoid,,5,10000.0,0.5,0.25,0.007,0.0,64,adam,0.0007,,0.99,"(8,4)",20,72.86,154.0,94.95,70.86,82.88,76.87,,,
fold0aug 2018-01-07 19:49:01.116821,he_normal,relu-sigmoid,0,5,10000.0,0.5,0.0,0.01,0.0,64,Adam,0.0007,,0.99,"(8,4)",20,73.5800109425,180.0,95.2843800367,84.1059602649,69.8630136986,76.9844869818,,,
fold0 2018-01-08 13:51:55.370759,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.01,0.0,64,Adam,0.0007,,0.99,"(8, 16)",20,72.4057892123,175.0,91.1102556773,77.4834437086,71.9178082192,74.7006259639,,,
fold0 2018-01-08 18:07:39.042570,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.01,0.0,64,Adam,0.0007,,0.99,"(8, 10)",20,69.2244675232,29.0,85.0139342969,76.9157994324,54.7945205479,65.8551599901,,,
fold0 2018-01-08 18:16:22.598537,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.01,0.0,64,Adam,0.0007,,0.99,"(8, 8)",20,73.9213544646,196.0,93.0002110993,84.5789971618,61.8395303327,73.2092637472,,,
fold0 2018-01-08 20:47:07.262557,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.01,0.0,64,Adam,0.0007,,0.99,"(8, 6)",20,73.5722088178,142.0,93.8231417545,86.5657521286,65.7534246575,76.1595883931,,,
fold0 2018-01-09 12:29:14.293950,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.01,0.0,64,Adam,0.0007,,0.99,"(8, 3)",20,70.9467894324,14.0,92.1426886189,68.1173131504,76.614481409,72.3658972797,,,
fold0_cont 2018-01-09 18:32:27.448066,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.01,0.0,64,Adam,0.0007,,0.99,"(8, 3)",20,75.0390106964,133.0,97.4077418284,82.3084200567,70.5479452055,76.4281826311,,,
fold1_cont 2018-01-09 20:42:10.266081,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.01,0.0,64,Adam,0.0007,,0.99,"(8, 3)",20,84.8121677164,99.0,96.6964938012,85.7142857143,88.8888888889,87.3015873016,,,
fold1_cont 2018-01-10 00:19:07.459809,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0007,,0.99,"(8, 4)",20,87.9528748727,20.0,91.73445977,90.6432748538,86.8838763576,88.7635756057,,,
fold1_cont 2018-01-10 13:14:55.466014,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.01,0.0,64,Adam,0.0001,,0.99,"(8, 4)",20,81.7164938192,47.0,96.1241204291,73.6006683375,94.6532999165,84.126984127,,,
*fold1_cont 2018-01-10 15:26:26.043801,he_normal,relu-sigmoid,False,5,10000.0,0.7,0.0,0.01,0.0,64,Adam,0.0001,,0.99,"(8, 4)",20,86.5234318299,12.0,91.2486931174,84.544695071,86.6332497911,85.5889724311,,,
fold1_cont 2018-01-10 15:59:22.839902,he_normal,relu-sigmoid,False,5,10000.0,0.8,0.0,0.01,0.0,64,Adam,0.0001,,0.99,"(8, 4)",20,86.6207618015,55.0,92.6477669932,82.8738512949,91.3116123643,87.0927318296,,,
*fold1_cont 2018-01-10 16:59:52.319668,he_normal,relu-sigmoid,False,5,10000.0,0.8,0.01,0.01,0.0,64,Adam,0.0001,,0.99,"(8, 4)",20,86.3656701415,55.0,92.4440855668,80.8187134503,91.9298245614,86.3742690059,,,
fold1_cont 2018-01-10 17:25:54.404782,he_normal,relu-sigmoid,False,5,10000.0,0.8,0.3,0.01,0.0,64,Adam,0.0001,,0.99,"(8, 4)",20,87.6266016004,78.0,89.7020033069,85.9649122807,87.9532163743,86.9590643275,,,
fold1_cont 2018-01-10 18:10:52.890954,he_normal,relu-sigmoid,False,5,10000.0,0.8,0.5,0.01,0.0,64,Adam,0.0001,,0.99,"(8, 4)",20,89.7483947996,68.0,86.5439158322,92.1470342523,84.7953216374,88.4711779449,,,
fold1_cont 2018-01-10 18:51:56.259053,he_normal,relu-sigmoid,False,5,10000.0,0.8,0.5,0.01,0.0,64,Adam,0.0001,,0.99,"(8, 4)",20,89.9721084361,142.0,87.0923029881,92.3976608187,84.962406015,88.6800334169,,,
fold0_noFIR 2018-01-13 12:18:48.150438,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0007,,0.99,"(8, 4)",20,73.9389092807,188.0,95.1725777299,81.2677388836,71.6242661448,76.4460025142,,,
fold2_noFIR 2018-01-13 14:16:29.401301,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0007,,0.99,"(8, 4)",20,86.5814887308,181.0,94.5976919205,89.6407685881,93.567251462,91.6040100251,,,
fold1_noFIR 2018-01-13 16:05:20.862887,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0007,,0.99,"(8, 4)",20,86.5684651029,78.0,93.2247178874,87.2180451128,90.977443609,89.0977443609,,,
fold3_noFIR 2018-01-14 01:54:06.158428,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0007,,0.99,"(8, 4)",20,82.6332998121,155.0,95.6580305783,81.6207184628,92.2305764411,86.925647452,,,
