epoch,acc,loss,lr,val_acc,val_loss,val_macc,val_sensitivity,val_specificity
0,0.8464309437463392,0.31257578259739693,0.000948042434175,0.72918190374828762,0.55974274284288361,0.704678362573,0.508771929825,0.900584795322
1,0.87926012978995505,0.26376623669500754,0.000961163023021,0.8110960192403105,0.4690974458511839,0.842105263158,0.760233918129,0.923976608187
2,0.88832967145265951,0.2464837092388682,0.000895476958249,0.80169261313944495,0.4831468311674903,0.836257309942,0.713450292398,0.959064327485
3,0.89318379234886336,0.23842387731369732,0.000823063426651,0.82123080141030436,0.44565503264517259,0.850877192982,0.736842105263,0.964912280702
4,0.89770578917786525,0.23050350637754419,0.000757663685363,0.83366419394404123,0.4169240943747321,0.868421052632,0.766081871345,0.970760233918
5,0.90055439170809914,0.22559136911525438,0.000700857781339,0.84557517502651902,0.40074211938816384,0.877192982456,0.812865497076,0.941520467836
6,0.90181901793774488,0.22015731072067685,0.000651690061204,0.83972416678487338,0.42459356372551466,0.874269005848,0.789473684211,0.959064327485
7,0.90318583618923942,0.21775507283414197,0.00060888909502,0.82457423469213442,0.46696290246291466,0.845029239766,0.72514619883,0.964912280702
8,0.90579173266567881,0.21454380505244944,0.000571341544855,0.84463483443293574,0.4124001889016583,0.880116959064,0.801169590643,0.959064327485
9,0.90718409892187424,0.21169771781598765,0.000538149499334,0.82572353989735947,0.45233713563563943,0.850877192982,0.72514619883,0.976608187135
10,0.90722242093197103,0.21226494525536452,0.00050860067131,0.84223174175714433,0.42171528449677309,0.877192982456,0.795321637427,0.959064327485
11,0.90830821112871085,0.21077471169311471,0.00048212724505,0.82478319927263799,0.45438033538220407,0.862573099415,0.766081871345,0.959064327485
12,0.9097772214020543,0.20680937884861506,0.000458273338154,0.84933653749426685,0.3843039317840245,0.894736842105,0.836257309942,0.953216374269
13,0.90869143119922335,0.20727318563079269,0.000436668517068,0.85403824056182553,0.38068845034853788,0.888888888889,0.818713450292,0.959064327485
14,0.91124623166930663,0.20356561607897211,0.000417009083321,0.8333507470795134,0.4216544444910873,0.877192982456,0.783625730994,0.970760233918
15,0.91139951969751165,0.20332344516005479,0.000399043579819,0.84170933029342998,0.39775948524599652,0.877192982456,0.783625730994,0.970760233918
16,0.91309846201011702,0.20094350117480625,0.000382562051527,0.82990283149497635,0.42724364947069526,0.862573099415,0.754385964912,0.970760233918
17,0.91238311787849369,0.20157725241309896,0.000367388041923,0.82614146905213914,0.44459084029911877,0.862573099415,0.760233918129,0.964912280702
18,0.91214041183688133,0.20044178773821919,0.000353371782694,0.82102183683602836,0.44468448151740991,0.859649122807,0.748538011696,0.970760233918
19,0.91348168208062952,0.19995464726952841,0.000340385740856,0.83815693243109635,0.41092175393191244,0.880116959064,0.801169590643,0.959064327485
20,0.91394154617133561,0.19848403479738524,0.000328320311382,0.83763452098606495,0.41300210959546907,0.888888888889,0.818713450292,0.959064327485
21,0.91420980021764875,0.19848934249263092,0.000317080935929,0.8172604743807359,0.45982630620766501,0.850877192982,0.730994152047,0.970760233918
22,0.91394154616829004,0.19844202385031082,0.000306585599901,0.84129140113242284,0.39739025471296668,0.888888888889,0.824561403509,0.953216374269
23,0.91463134229521259,0.19798462540649819,0.000296762795188,0.83272385333800258,0.41807174374349515,0.883040935673,0.801169590643,0.964912280702
24,0.91466966429921825,0.1974151615628455,0.000287549861241,0.82123080140407678,0.45374656624087045,0.856725146199,0.74269005848,0.970760233918
25,0.91598538654435668,0.19485806568350755,0.000278891762719,0.83042524294623532,0.42208302496350453,0.888888888889,0.80701754386,0.970760233918
